iter	MAE
0	54673.32665
1	53591.58105
2	52498.70007
3	51566.40412
4	50493.79833
5	49501.81982
6	48588.30196
7	47642.40806
8	46663.22787
9	45841.58402
10	44970.75547
11	44274.65022
12	43553.71446
13	42932.95282
14	42213.22893
15	41551.2964
16	40836.38402
17	40230.93597
18	39517.82141
19	38949.23074
20	38255.44614
21	37779.62122
22	37135.84164
23	36643.98643
24	36030.60331
25	35406.76265
26	34834.96025
27	34312.47454
28	33813.16829
29	33339.34828
30	32915.1696
31	32373.90192
32	31928.21753
33	31493.85767
34	31040.55569
35	30715.97194
36	30265.72171
37	29852.61144
38	29587.58998
39	29212.99088
40	28816.77524
41	28452.07977
42	28082.99927
43	27715.90203
44	27436.01887
45	27091.68185
46	26793.3202
47	26524.65536
48	26271.59234
49	26050.90478
50	25812.34859
51	25584.79479
52	25314.24946
53	25074.01015
54	24830.76757
55	24586.32425
56	24318.04461
57	24090.59751
58	23864.65245
59	23643.35279
60	23455.31396
61	23283.96448
62	23148.93052
63	22933.99416
64	22773.08156
65	22605.58309
66	22412.18391
67	22260.49554
68	22101.12595
69	21891.25574
70	21711.7728
71	21557.23781
72	21414.68263
73	21241.39576
74	21113.69596
75	20955.61391
76	20847.72258
77	20693.61878
78	20524.14909
79	20449.1084
80	20349.33304
81	20197.93493
82	20105.20925
83	19976.82781
84	19837.47745
85	19687.23909
86	19572.95082
87	19477.84635
88	19367.84501
89	19251.57182
90	19157.76995
91	19074.79809
92	18978.08207
93	18874.7303
94	18730.12772
95	18603.72771
96	18478.35339
97	18366.01279
98	18270.31238
99	18154.00014
100	18075.08305
101	17970.0618
102	17917.57947
103	17858.19308
104	17761.94682
105	17654.68391
106	17590.82227
107	17518.31361
108	17429.79791
109	17382.74747
110	17300.70812
111	17241.05692
112	17186.94566
113	17132.87077
114	17075.86168
115	17010.77555
116	16957.04645
117	16884.15589
118	16805.67372
119	16732.62358
120	16661.11281
121	16585.54724
122	16503.65856
123	16458.24185
124	16395.81781
125	16313.39477
126	16269.51282
127	16202.132
128	16148.98265
129	16086.10526
130	16023.74749
131	15954.87373
132	15899.94467
133	15850.06373
134	15819.20123
135	15760.06451
136	15715.64664
137	15673.52844
138	15612.20115
139	15571.9951
140	15505.7739
141	15434.38549
142	15399.87819
143	15370.6704
144	15337.9144
145	15289.32744
146	15235.96821
147	15193.39763
148	15169.97636
149	15120.11975
150	15085.40585
151	15062.21683
152	15032.75273
153	14991.66592
154	14955.95795
155	14921.11813
156	14861.23278
157	14801.94475
158	14780.74361
159	14754.07387
160	14717.03049
