iter	Passed	Remaining
0	66	332369
1	84	210377
2	98	164113
3	111	138694
4	125	125246
5	140	117056
6	156	111333
7	168	104946
8	184	102124
9	204	102188
10	220	100087
11	228	94899
12	245	94227
13	259	92370
14	280	93150
15	292	91018
16	318	93263
17	329	91074
18	341	89635
19	351	87524
20	367	87223
21	382	86661
22	396	85838
23	412	85451
24	432	86022
25	447	85680
26	465	85690
27	482	85674
28	495	84954
29	518	85899
30	530	85092
31	551	85579
32	569	85643
33	582	85122
34	594	84325
35	607	83726
36	628	84343
37	639	83449
38	647	82390
39	666	82647
40	676	81789
41	681	80421
42	705	81377
43	726	81806
44	741	81606
45	755	81346
46	772	81356
47	794	81970
48	807	81605
49	830	82243
50	847	82230
51	861	81953
52	879	82074
53	898	82268
54	915	82324
55	930	82128
56	949	82374
57	968	82528
58	986	82642
59	1009	83106
60	1036	83885
61	1054	84013
62	1080	84708
63	1100	84883
64	1116	84778
65	1145	85664
66	1173	86367
67	1214	88059
68	1240	88638
69	1259	88702
70	1284	89205
71	1319	90299
72	1365	92170
73	1407	93685
74	1442	94695
75	1461	94712
76	1498	95823
77	1528	96462
78	1554	96834
79	1577	97019
80	1607	97636
81	1636	98151
82	1670	98965
83	1689	98870
84	1720	99473
85	1741	99535
86	1767	99786
87	1786	99733
88	1817	100279
89	1842	100526
90	1863	100547
91	1898	101269
92	1927	101724
93	1958	102234
94	1968	101617
95	1986	101494
96	2006	101423
97	2018	100953
98	2041	101071
99	2052	100575
100	2086	101217
101	2113	101505
102	2159	102682
103	2189	103088
104	2225	103727
105	2266	104642
106	2294	104945
107	2331	105603
108	2362	105994
109	2375	105623
110	2421	106661
111	2446	106788
112	2480	107262
113	2498	107088
114	2533	107624
115	2563	107945
116	2595	108322
117	2642	109310
118	2664	109277
119	2692	109490
120	2721	109752
121	2744	109726
122	2766	109703
123	2786	109585
124	2809	109581
125	2828	109417
126	2860	109768
127	2873	109385
128	2902	109615
129	2918	109314
130	2927	108806
131	2941	108485
132	2955	108162
133	2972	107931
134	2982	107493
135	2995	107129
136	3013	106950
137	3031	106813
138	3038	106261
139	3055	106052
140	3077	106065
141	3095	105917
142	3122	106068
143	3153	106330
144	3173	106253
145	3189	106030
146	3207	105894
147	3228	105843
148	3248	105747
149	3268	105665
150	3296	105873
151	3318	105842
152	3333	105606
153	3354	105566
154	3374	105487
155	3394	105401
156	3409	105172
157	3421	104860
158	3444	104887
159	3460	104692
160	3474	104429
161	3499	104496
162	3509	104145
163	3527	104011
164	3546	103910
165	3560	103691
166	3576	103499
167	3595	103413
168	3610	103211
169	3623	102942
170	3640	102819
171	3658	102681
172	3672	102480
173	3685	102221
174	3700	102031
175	3710	101696
176	3730	101644
177	3752	101643
178	3767	101477
179	3785	101359
180	3799	101146
181	3817	101061
182	3825	100697
183	3842	100578
184	3858	100412
185	3870	100165
186	3882	99932
187	3894	99672
188	3902	99345
189	3918	99201
190	3930	98953
191	3947	98844
192	3962	98705
193	3974	98449
194	3989	98317
195	3999	98021
196	4009	97766
197	4015	97387
198	4025	97118
199	4039	96941
200	4049	96672
201	4059	96417
202	4069	96159
203	4080	95926
204	4091	95697
205	4099	95393
206	4113	95237
207	4124	95024
208	4134	94772
209	4146	94573
210	4158	94376
211	4174	94271
212	4184	94035
213	4193	93777
214	4202	93535
215	4212	93301
216	4227	93189
217	4244	93108
218	4256	92915
219	4262	92607
220	4276	92480
221	4289	92318
222	4305	92230
223	4319	92100
224	4330	91908
225	4342	91731
226	4354	91558
227	4367	91413
228	4379	91248
229	4387	90993
230	4400	90852
231	4408	90599
232	4422	90478
233	4433	90290
234	4442	90086
235	4458	89993
236	4466	89758
237	4476	89569
238	4489	89423
239	4500	89257
240	4511	89084
241	4526	89000
242	4538	88842
243	4549	88682
244	4561	88537
245	4571	88347
246	4582	88183
247	4594	88038
248	4606	87885
249	4615	87703
250	4627	87555
251	4635	87334
252	4641	87078
253	4646	86820
254	4662	86753
255	4672	86593
256	4686	86490
257	4698	86356
258	4709	86206
259	4722	86090
260	4731	85908
261	4743	85785
262	4754	85632
263	4760	85401
264	4773	85298
265	4785	85173
266	4800	85099
267	4812	84974
268	4823	84840
269	4838	84765
270	4850	84643
271	4860	84478
272	4869	84309
273	4871	84033
274	4886	83954
275	4902	83911
276	4915	83807
277	4925	83657
278	4938	83565
279	4948	83415
280	4959	83283
281	4969	83133
282	4976	82954
283	4987	82827
284	4999	82711
285	5012	82626
286	5025	82520
287	5034	82370
288	5045	82244
289	5057	82137
290	5065	81966
291	5078	81881
292	5090	81775
293	5099	81632
294	5107	81463
295	5119	81352
296	5128	81210
297	5142	81135
298	5157	81092
299	5171	81018
300	5180	80881
301	5193	80785
302	5205	80694
303	5221	80655
304	5230	80508
305	5242	80413
306	5253	80311
307	5264	80193
308	5273	80063
309	5282	79919
310	5294	79827
311	5312	79829
312	5322	79701
313	5335	79629
314	5342	79452
315	5353	79353
316	5369	79316
317	5380	79215
318	5390	79106
319	5399	78967
320	5410	78872
321	5421	78759
322	5429	78617
323	5439	78499
324	5451	78423
325	5460	78289
326	5472	78198
327	5477	78018
328	5483	77845
329	5493	77745
330	5503	77631
331	5513	77515
332	5520	77370
333	5530	77257
334	5537	77116
335	5547	77005
336	5560	76936
337	5572	76858
338	5585	76795
339	5600	76757
340	5614	76708
341	5625	76618
342	5636	76529
343	5646	76421
344	5663	76416
345	5671	76283
346	5688	76272
347	5702	76225
348	5713	76142
349	5727	76089
350	5735	75965
351	5749	75921
352	5761	75850
353	5772	75764
354	5781	75643
355	5790	75539
356	5809	75562
357	5820	75466
358	5833	75412
359	5844	75334
360	5856	75254
361	5863	75128
362	5872	75020
363	5885	74959
364	5899	74909
365	5912	74860
366	5927	74834
367	5937	74730
368	5951	74687
369	5965	74647
370	5977	74580
371	5986	74473
372	5996	74384
373	6007	74304
374	6016	74201
375	6032	74190
376	6046	74148
377	6058	74078
378	6070	74018
379	6080	73922
380	6093	73875
381	6107	73832
382	6124	73829
383	6135	73749
384	6148	73701
385	6158	73610
386	6172	73571
387	6188	73562
388	6201	73509
389	6210	73413
390	6223	73358
391	6235	73296
392	6248	73243
393	6260	73188
394	6274	73153
395	6290	73137
396	6302	73076
397	6319	73076
398	6336	73062
399	6346	72986
400	6358	72930
401	6373	72896
402	6381	72796
403	6391	72714
404	6406	72686
405	6416	72600
406	6425	72517
407	6440	72488
408	6450	72407
409	6463	72363
410	6469	72234
411	6481	72174
412	6493	72117
413	6502	72031
414	6512	71947
415	6525	71907
416	6537	71844
417	6548	71780
418	6558	71702
419	6570	71653
420	6582	71598
421	6588	71477
422	6602	71441
423	6618	71433
424	6633	71409
425	6649	71398
426	6664	71373
427	6677	71334
428	6697	71363
429	6715	71376
430	6729	71337
431	6747	71350
432	6765	71359
433	6781	71347
434	6800	71371
435	6814	71334
436	6823	71246
437	6836	71201
438	6849	71164
439	6864	71140
440	6879	71116
441	6888	71038
442	6906	71049
443	6919	70999
444	6928	70923
445	6943	70894
446	6958	70875
447	6972	70848
448	6983	70784
449	6994	70724
450	7015	70765
451	7037	70809
452	7055	70819
453	7071	70803
454	7085	70778
455	7102	70774
456	7111	70695
457	7125	70659
458	7138	70625
459	7149	70558
460	7175	70648
461	7197	70699
462	7206	70614
463	7218	70562
464	7242	70630
465	7255	70589
466	7272	70587
467	7296	70657
468	7322	70745
469	7349	70835
470	7367	70843
471	7387	70869
472	7406	70884
473	7424	70895
474	7436	70845
475	7450	70807
476	7459	70729
477	7472	70694
478	7485	70655
479	7496	70593
480	7508	70544
481	7521	70498
482	7537	70486
483	7551	70459
484	7562	70404
485	7575	70364
486	7588	70324
487	7605	70318
488	7618	70283
489	7631	70244
490	7645	70212
491	7655	70147
492	7666	70089
493	7682	70079
494	7695	70037
495	7706	69984
496	7726	70003
497	7739	69966
498	7748	69896
499	7759	69836
500	7774	69812
501	7786	69767
502	7799	69730
503	7811	69686
504	7826	69659
505	7837	69606
506	7848	69551
507	7859	69495
508	7876	69499
509	7885	69426
510	7894	69353
511	7908	69319
512	7921	69287
513	7938	69287
514	7950	69241
515	7962	69192
516	7974	69145
517	7991	69147
518	8005	69115
519	8022	69115
520	8034	69074
521	8044	69013
522	8054	68947
523	8064	68885
524	8079	68866
525	8088	68799
526	8100	68758
527	8112	68711
528	8126	68680
529	8139	68649
530	8151	68601
531	8158	68519
532	8164	68421
533	8174	68369
534	8192	68374
535	8204	68330
536	8216	68288
537	8230	68261
538	8246	68249
539	8256	68195
540	8268	68148
541	8289	68181
542	8301	68135
543	8318	68139
544	8331	68102
545	8351	68124
546	8363	68087
547	8376	68054
548	8392	68038
549	8409	68037
550	8419	67982
551	8432	67950
552	8447	67935
553	8460	67900
554	8476	67887
555	8484	67817
556	8499	67797
557	8513	67769
558	8524	67721
559	8541	67722
560	8549	67650
561	8559	67596
562	8572	67556
563	8585	67527
564	8593	67456
565	8605	67417
566	8619	67386
567	8627	67322
568	8640	67283
569	8649	67225
570	8664	67203
571	8676	67163
572	8683	67092
573	8693	67033
574	8703	66978
575	8717	66956
576	8728	66910
577	8741	66876
578	8751	66826
579	8766	66807
580	8785	66822
581	8800	66801
582	8813	66770
583	8827	66750
584	8837	66695
585	8845	66624
586	8856	66580
587	8871	66563
588	8878	66493
589	8894	66484
590	8906	66448
591	8920	66419
592	8932	66380
593	8941	66323
594	8950	66264
595	8962	66227
596	8978	66216
597	8987	66158
598	8995	66091
599	9007	66051
600	9016	65999
601	9026	65941
602	9037	65901
603	9045	65837
604	9051	65752
605	9064	65723
606	9075	65683
607	9089	65656
608	9102	65630
609	9111	65573
610	9126	65554
611	9135	65500
612	9149	65482
613	9158	65423
614	9175	65423
615	9186	65377
616	9201	65365
617	9211	65316
618	9219	65253
619	9234	65239
620	9246	65200
621	9258	65170
622	9266	65106
623	9276	65056
624	9289	65027
625	9297	64962
626	9310	64937
627	9323	64905
628	9334	64863
629	9343	64812
630	9356	64787
631	9364	64724
632	9374	64674
633	9388	64650
634	9397	64601
635	9409	64563
636	9418	64510
637	9429	64470
638	9435	64393
639	9449	64373
640	9462	64350
641	9474	64316
642	9490	64307
643	9499	64256
644	9511	64218
645	9517	64144
646	9524	64083
647	9537	64057
648	9546	64002
649	9554	63944
650	9565	63901
651	9578	63877
652	9586	63820
653	9603	63818
654	9611	63761
655	9620	63704
656	9634	63686
657	9643	63634
658	9656	63612
659	9674	63617
660	9687	63592
661	9706	63608
662	9722	63602
663	9729	63532
664	9740	63495
665	9752	63465
666	9760	63405
667	9768	63350
668	9783	63336
669	9791	63280
670	9805	63260
671	9818	63234
672	9825	63174
673	9833	63118
674	9850	63112
675	9860	63074
676	9873	63045
677	9880	62985
678	9894	62968
679	9907	62944
680	9924	62939
681	9935	62906
682	9953	62913
683	9966	62885
684	9982	62881
685	9994	62850
686	10011	62852
687	10027	62849
688	10042	62834
689	10056	62816
690	10064	62759
691	10073	62711
692	10085	62683
693	10099	62661
694	10108	62616
695	10119	62579
696	10131	62550
697	10145	62530
698	10159	62512
699	10173	62494
700	10184	62461
701	10192	62406
702	10200	62348
703	10210	62307
704	10226	62299
705	10235	62256
706	10250	62245
707	10264	62221
708	10280	62219
709	10288	62165
710	10299	62132
711	10307	62073
712	10316	62030
713	10330	62009
714	10340	61967
715	10347	61910
716	10357	61870
717	10367	61832
718	10375	61779
719	10389	61760
720	10397	61707
721	10408	61675
722	10423	61663
723	10431	61610
724	10439	61558
725	10452	61535
726	10466	61517
727	10476	61480
728	10489	61455
729	10504	61442
730	10517	61423
731	10525	61372
732	10536	61335
733	10548	61310
734	10556	61254
735	10568	61228
736	10581	61208
737	10593	61179
738	10608	61170
739	10614	61106
740	10628	61090
741	10636	61040
742	10648	61010
743	10658	60973
744	10671	60950
745	10681	60911
746	10690	60866
747	10705	60856
748	10712	60801
749	10724	60769
750	10738	60754
751	10750	60730
752	10766	60723
753	10779	60703
754	10789	60663
755	10804	60653
756	10816	60626
757	10828	60598
758	10840	60574
759	10856	60570
760	10868	60541
761	10882	60522
762	10897	60515
763	10909	60485
764	10921	60459
765	10932	60426
766	10943	60396
767	10959	60391
768	10970	60359
769	10982	60334
770	10994	60304
771	11009	60297
772	11022	60273
773	11033	60244
774	11050	60241
775	11062	60215
776	11075	60193
777	11085	60157
778	11098	60138
779	11111	60113
780	11123	60088
781	11138	60078
782	11146	60030
783	11154	59983
784	11165	59950
785	11177	59924
786	11188	59894
787	11198	59858
788	11208	59823
789	11218	59786
790	11232	59770
791	11246	59753
792	11256	59717
793	11267	59687
794	11276	59645
795	11295	59654
796	11308	59636
797	11325	59637
798	11346	59655
799	11361	59648
800	11382	59667
801	11398	59666
802	11408	59627
803	11417	59589
804	11438	59610
805	11445	59558
806	11466	59580
807	11479	59554
808	11499	59570
809	11513	59555
810	11525	59533
811	11541	59526
812	11555	59511
813	11564	59469
814	11577	59448
815	11592	59437
816	11607	59431
817	11620	59410
818	11632	59385
819	11647	59376
820	11664	59372
821	11675	59341
822	11692	59341
823	11701	59302
824	11710	59264
825	11719	59221
826	11731	59194
827	11738	59148
828	11750	59119
829	11763	59103
830	11777	59085
831	11790	59064
832	11804	59048
833	11815	59022
834	11824	58981
835	11838	58967
836	11851	58945
837	11865	58930
838	11874	58892
839	11883	58850
840	11889	58795
841	11896	58747
842	11908	58725
843	11920	58697
844	11929	58661
845	11943	58646
846	11951	58602
847	11964	58579
