iter	MAE
0	55165.83914
1	54760.45096
2	54358.51712
3	53967.79221
4	53606.23756
5	53223.13809
6	52823.88112
7	52453.86768
8	52082.21381
9	51741.9783
10	51375.87348
11	51042.8335
12	50687.65631
13	50313.56585
14	49949.97326
15	49616.02293
16	49274.54327
17	48934.02728
18	48591.55344
19	48265.588
20	47957.40079
21	47680.77253
22	47376.46123
23	47061.58183
24	46739.58485
25	46431.69627
26	46183.12821
27	45904.95357
28	45630.35476
29	45367.86044
30	45118.97813
31	44824.34123
32	44556.95458
33	44273.27156
34	44010.48822
35	43763.06212
36	43540.33579
37	43256.5883
38	43062.56023
39	42815.39047
40	42561.41692
41	42321.40321
42	42056.05887
43	41790.84272
44	41533.59256
45	41285.0725
46	41036.2007
47	40817.72494
48	40569.61409
49	40341.79682
50	40106.1808
51	39930.23095
52	39742.44981
53	39558.48479
54	39338.95665
55	39084.10262
56	38896.39226
57	38675.63974
58	38448.5889
59	38226.19225
60	38054.81188
61	37802.44117
62	37598.11778
63	37374.92743
64	37158.82382
65	36970.78963
66	36764.33616
67	36562.48798
68	36358.0531
69	36163.87453
70	35975.97951
71	35810.9276
72	35654.52435
73	35440.56929
74	35269.30661
75	35084.25926
76	34919.11668
77	34726.56893
78	34545.9803
79	34390.00735
80	34240.03991
81	34055.99472
82	33875.62743
83	33728.98167
84	33550.55871
85	33368.38736
86	33204.05996
87	33046.00617
88	32874.62204
89	32714.31197
90	32552.7763
91	32383.28777
92	32219.70518
93	32097.96861
94	31977.26027
95	31823.42487
96	31684.0176
97	31509.38621
98	31347.9822
99	31202.19417
100	31041.08176
101	30913.06334
102	30791.62338
103	30650.38327
104	30532.68534
105	30402.68349
106	30262.31635
107	30159.43148
108	30010.40147
109	29860.32528
110	29737.75998
111	29597.96512
112	29471.95377
113	29354.46416
114	29247.28242
115	29132.63299
116	29008.43847
117	28881.83766
118	28771.09166
119	28645.11205
120	28517.15355
121	28407.91988
122	28283.35737
123	28143.9885
124	28028.06695
125	27914.69182
126	27774.35879
127	27655.27447
128	27537.53162
129	27422.67949
130	27300.69163
131	27184.93355
132	27086.70117
133	26967.27363
134	26868.99667
135	26768.45261
136	26640.57795
137	26540.91606
138	26441.85183
139	26340.69292
140	26233.96507
141	26125.23391
142	26047.52027
143	25941.3181
144	25849.00391
145	25739.35895
146	25658.5229
147	25571.01582
148	25465.64408
149	25360.42185
150	25273.25837
151	25185.65295
152	25110.14223
153	25010.08583
154	24913.52754
155	24841.67264
156	24770.95864
157	24672.72262
158	24593.58133
159	24515.56131
160	24425.88601
161	24347.03585
162	24273.94014
163	24208.99631
164	24113.37939
165	24048.29237
166	23972.45722
167	23894.98815
168	23819.81099
169	23752.05127
170	23678.9656
171	23589.82618
172	23526.47824
173	23463.37506
174	23379.32585
175	23300.09986
176	23227.01019
177	23157.85449
178	23088.6612
179	23002.75742
180	22938.21134
181	22872.17466
182	22804.58936
183	22737.66332
184	22665.9706
185	22593.93054
186	22519.43902
187	22449.22312
188	22400.5858
189	22325.42475
190	22276.56413
191	22235.48423
192	22162.21484
193	22099.34213
194	22038.30503
195	21960.75569
