iter	Passed	Remaining
0	18	92982
1	35	89914
2	52	86793
3	74	92442
4	92	92485
5	111	93086
6	130	92746
7	145	90922
8	163	90820
9	181	90496
10	198	90245
11	217	90243
12	236	90741
13	254	90715
14	273	91048
15	294	91632
16	314	92078
17	335	92811
18	354	92936
19	372	92844
20	398	94386
21	425	96287
22	446	96620
23	467	96846
24	487	96935
25	508	97199
26	529	97453
27	551	97935
28	570	97821
29	595	98596
30	619	99233
31	639	99349
32	660	99359
33	680	99452
34	703	99733
35	725	100006
36	743	99701
37	762	99516
38	779	99176
39	797	98833
40	814	98510
41	834	98528
42	852	98229
43	870	98028
44	888	97795
45	906	97598
46	927	97736
47	945	97537
48	964	97417
49	983	97381
50	1004	97438
51	1025	97577
52	1037	96824
53	1053	96516
54	1072	96432
55	1090	96274
56	1108	96098
57	1121	95566
58	1140	95540
59	1158	95363
60	1175	95186
61	1193	95056
62	1211	94973
63	1229	94846
64	1250	94934
65	1269	94922
66	1286	94754
67	1304	94649
68	1321	94468
69	1340	94391
70	1357	94258
71	1375	94123
72	1391	93945
73	1411	93947
74	1429	93846
75	1447	93766
76	1464	93639
77	1482	93577
78	1501	93522
79	1518	93385
80	1537	93366
81	1555	93313
82	1574	93268
83	1592	93173
84	1609	93064
85	1627	93004
86	1646	92962
87	1663	92870
88	1682	92858
89	1703	92927
90	1721	92843
91	1740	92849
92	1757	92750
93	1778	92808
94	1795	92727
95	1816	92779
96	1837	92870
97	1854	92760
98	1874	92799
99	1893	92766
100	1911	92694
101	1928	92603
102	1948	92636
103	1965	92536
104	1988	92695
105	2008	92719
106	2025	92646
107	2044	92602
108	2062	92538
109	2080	92472
110	2098	92415
111	2117	92421
112	2135	92335
113	2154	92357
114	2172	92293
115	2192	92318
116	2214	92410
117	2231	92341
118	2249	92254
119	2268	92252
120	2286	92202
121	2304	92146
122	2324	92166
123	2343	92148
124	2361	92080
125	2380	92074
126	2398	92038
127	2418	92045
128	2437	92023
129	2458	92090
130	2475	92000
131	2493	91974
132	2511	91889
133	2530	91881
134	2548	91856
135	2566	91793
136	2584	91753
137	2601	91664
138	2619	91600
139	2638	91595
140	2657	91566
141	2674	91494
142	2694	91513
143	2712	91459
144	2731	91472
145	2752	91508
146	2772	91524
147	2791	91512
148	2814	91623
149	2832	91599
150	2853	91639
151	2871	91580
152	2889	91539
153	2906	91472
154	2924	91428
155	2943	91398
156	2962	91397
157	2987	91563
158	3006	91532
159	3023	91473
160	3043	91472
161	3062	91462
162	3081	91439
163	3099	91387
164	3117	91345
165	3134	91270
166	3151	91215
167	3169	91163
168	3188	91141
169	3205	91078
170	3222	91013
171	3241	90991
172	3260	90968
173	3277	90906
174	3298	90938
175	3319	90977
176	3336	90915
177	3355	90899
178	3373	90851
179	3392	90844
180	3412	90843
181	3431	90827
182	3448	90771
183	3467	90748
184	3485	90727
185	3505	90722
186	3526	90756
187	3558	91084
188	3583	91207
189	3607	91316
190	3631	91441
191	3653	91486
192	3673	91489
193	3692	91464
194	3713	91498
195	3731	91454
196	3749	91414
197	3767	91367
198	3784	91301
199	3804	91299
200	3823	91290
201	3841	91237
202	3860	91233
203	3879	91198
204	3900	91222
205	3917	91167
206	3934	91090
207	3952	91058
208	3972	91068
209	3992	91068
210	4011	91043
211	4030	91020
212	4056	91174
213	4085	91365
214	4115	91599
215	4138	91663
216	4157	91642
217	4176	91625
218	4194	91580
219	4215	91596
220	4233	91555
221	4254	91566
222	4273	91539
223	4292	91518
224	4310	91472
225	4328	91430
226	4357	91621
227	4385	91796
228	4413	91946
229	4436	92005
230	4454	91962
231	4476	92007
232	4494	91958
233	4512	91908
234	4530	91856
235	4547	91792
236	4566	91769
237	4584	91736
238	4602	91685
239	4622	91676
240	4642	91665
241	4666	91751
242	4699	91997
243	4728	92162
244	4755	92304
245	4776	92312
246	4796	92306
247	4814	92248
248	4831	92193
249	4852	92191
250	4872	92189
251	4891	92169
252	4910	92127
253	4936	92239
254	4960	92306
255	4990	92474
256	5009	92457
257	5028	92418
258	5046	92373
259	5067	92376
260	5085	92335
261	5101	92264
262	5121	92244
263	5139	92197
264	5159	92187
265	5178	92166
266	5196	92119
267	5214	92072
268	5232	92029
269	5252	92012
270	5269	91959
271	5288	91919
272	5305	91858
273	5321	91790
274	5339	91746
275	5360	91743
276	5377	91692
277	5395	91640
278	5418	91687
279	5441	91736
280	5463	91750
281	5481	91714
282	5502	91709
283	5520	91670
284	5537	91614
285	5556	91583
286	5574	91545
287	5597	91588
288	5624	91679
289	5642	91639
290	5663	91650
291	5683	91637
292	5701	91595
293	5720	91571
294	5737	91514
295	5755	91470
296	5775	91459
297	5795	91450
298	5815	91434
299	5833	91391
300	5851	91342
301	5871	91344
302	5889	91299
303	5906	91239
304	5924	91202
